kulut_muut,kunta,kulut_muut_viestintavalineet,kulut_vaalitilaisuudet,muu_tuki,lainat,etunimi,omat_varat,kulut_radio,kulut_kaikki,yritys_tuki,puolue_lyh,kulut_tietoverkot,rahoitus_kaikki,kulut_televisio,valitetty_tuki,kulut_painettu_mat,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,kulut_tuen_hankintakulut,kulut_mainonnan_suunnittelu,kulut_ulkomainonta,kulut_lehdet,ammatti,yksityinen_tuki,puolue_tuki
0,Ahvenanmaan maakunnan vaalipiiri,0,0,0,0,Tony Mikael,0,0,0,0,,0,0,0,0,0,0,AFÅ,Ahvenanmaan maakunnan vaalipiiri,Asumaa,0,0,0,0,ekonomie magister,0,0
0,Varsinais-Suomen vaalipiiri,0,0,0,0,Otso,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Varsinais-Suomen vaalipiiri,Ylönen,0,0,0,0,"DI, innovaatiopäällikkö",0,0
0,Varsinais-Suomen vaalipiiri,0,0,0,0,Niina,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Varsinais-Suomen vaalipiiri,Repo-Kouki,0,0,0,0,"kirjailija, kirjoittajakouluttaja",0,0
0,Varsinais-Suomen vaalipiiri,0,0,0,0,Riitta,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Varsinais-Suomen vaalipiiri,Koskimies,0,0,0,0,"FM, suomen kielen ja viestinnän lehtori",0,0
0,Vaasan vaalipiiri,0,0,0,0,Jussi Sakari,0,0,0,0,VP,0,0,0,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Vaasan vaalipiiri,Siitarinen,0,0,0,0,media-assistentti,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Ville Veijo Wilhelm,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Vasko,0,0,0,0,"filosofian maisteri, biologi",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Tomi Juhani,0,0,0,0,VP,0,0,0,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pohjois-Savon vaalipiiri,Hämäläinen,0,0,0,0,varastomies,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Vesa-Matti,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Velhonoja,0,0,0,0,"filosofian maisteri, lehtori",0,0
0,Oulun vaalipiiri,0,0,0,0,Lauri Mikael,0,0,0,0,VP,0,0,0,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Oulun vaalipiiri,Oikarinen,0,0,0,0,"ympäristösuunnittelija, opiskelija",0,0
0,Uudenmaan vaalipiiri,0,0,0,0,Georg Krister Mikael,0,0,0,0,,0,0,0,0,0,0,"Yhteislistoihin kuulumattomien valitsijayhdistysten ehdokkaat Lönnroth, Mikael",Uudenmaan vaalipiiri,Lönnroth,0,0,0,0,"yrittäjä, företagare",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Marja Liisa,0,0,0,0,VP,0,0,0,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Pohjois-Savon vaalipiiri,Luomanmäki,0,0,0,0,"sairaanhoitaja, opiskelija",0,0
0,Oulun vaalipiiri,0,0,0,0,Jari Markku Juhani,0,0,0,0,VP,0,0,0,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Oulun vaalipiiri,Kaarlela,0,0,0,0,metsäkoneasentaja,0,0
0,Oulun vaalipiiri,0,0,0,0,Terttu,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Kuusela,0,0,0,0,"yhteiskuntatieteiden maisteri, sosiodraamaohjaaja",0,0
0,Lapin vaalipiiri,0,0,0,0,Pirkka Teemu Sakari,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Lapin vaalipiiri,Aalto,0,0,0,0,"filosofian maisteri, biologian ja maantiedon lehtori",0,0
0,Keski-Suomen vaalipiiri,0,0,0,0,Marika Anneli,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Keski-Suomen vaalipiiri,Visakorpi,0,0,0,0,"kihlakunnansyyttäjä, varatuomari",0,0
0,Kymen vaalipiiri,0,0,0,0,Sami,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Kymen vaalipiiri,Virtanen,0,0,0,0,erityisperhetyöntekijä,0,0
0,Kymen vaalipiiri,0,0,0,0,Ritva,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Kymen vaalipiiri,Sorvali,0,0,0,0,"FK, kansalaisopiston opettaja",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Sami Johannes,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Etelä-Savon vaalipiiri,Järvinen,0,0,0,0,"toiminnanjohtaja, kenttäpäällikkö",0,0
0,Hämeen vaalipiiri,0,0,0,0,Päivi Maria,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Hämeen vaalipiiri,Räsänen,0,0,0,0,"kansanedustaja, lääkäri",0,0
0,Helsingin vaalipiiri,0,0,0,0,Mikko Tapani,0,0,0,0,,0,0,0,0,0,0,"Yhteislistoihin kuulumattomien valitsijayhdistysten ehdokkaat Laajola, Mikko",Helsingin vaalipiiri,Laajola,0,0,0,0,mediasuunnittelija,0,0
0,Helsingin vaalipiiri,0,0,0,0,Zahra,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Abdulla,0,0,0,0,kätilö,0,0
0,Helsingin vaalipiiri,0,0,0,0,Ville,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Ylikahri,0,0,0,0,"filosofian maisteri, opintojohtaja",0,0
0,Helsingin vaalipiiri,0,0,0,0,Verna,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Castrén,0,0,0,0,opiskelija,0,0
0,Helsingin vaalipiiri,0,0,0,0,Tuuli,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Kousa,0,0,0,0,"viestintäpäällikkö, Master of Laws",0,0
0,Helsingin vaalipiiri,0,0,0,0,Sirkku,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Ingervo,0,0,0,0,erityisopettaja,0,0
0,Helsingin vaalipiiri,0,0,0,0,Sanna,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Vesikansa,0,0,0,0,"kansainvälisten asiain koordinaattori, valtiotieteiden maist",0,0
0,Helsingin vaalipiiri,0,0,0,0,Riitta,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Skoglund,0,0,0,0,"psykologi, filosofian maisteri",0,0
0,Helsingin vaalipiiri,0,0,0,0,Pekka,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Haavisto,0,0,0,0,"kansanedustaja, ulkoministerin erityisedustaja",0,0
0,Helsingin vaalipiiri,0,0,0,0,Outi,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Alanko-Kahiluoto,0,0,0,0,"kansanedustaja, tutkija",0,0
0,Helsingin vaalipiiri,0,0,0,0,Osmo,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Soininvaara,0,0,0,0,valtiotieteen lisensiaatti,0,0
0,Helsingin vaalipiiri,0,0,0,0,Marko,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Kosunen,0,0,0,0,"tekniikan tohtori, tutkija",0,0
0,Helsingin vaalipiiri,0,0,0,0,Mari,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Puoskari,0,0,0,0,"diplomi-insinööri, puolueen varapuheenjohtaja",0,0
0,Helsingin vaalipiiri,0,0,0,0,Leo,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Stranius,0,0,0,0,"pääsihteeri, hallintotieteiden maisteri",0,0
0,Helsingin vaalipiiri,0,0,0,0,Jukka,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Relander,0,0,0,0,kolumnisti,0,0
0,Helsingin vaalipiiri,0,0,0,0,Johanna,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Sumuvuori,0,0,0,0,"kansanedustaja, valtiotieteiden maisteri",0,0
0,Helsingin vaalipiiri,0,0,0,0,Husein,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Muhammed,0,0,0,0,"oikeustieteen maisteri, lakimies",0,0
0,Helsingin vaalipiiri,0,0,0,0,Emma,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Kari,0,0,0,0,opiskelija,0,0
0,Helsingin vaalipiiri,0,0,0,0,Henrik,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Jaakkola,0,0,0,0,ylioppilas,0,0
0,Helsingin vaalipiiri,0,0,0,0,Anni,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Sinnemäki,0,0,0,0,"puolueen puheenjohtaja, työministeri",0,0
0,Helsingin vaalipiiri,0,0,0,0,Anna,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Helsingin vaalipiiri,Moring,0,0,0,0,"vs. pääsihteeri, tohtorikoulutettava, tf. generalsekreterare",0,0
0,Helsingin vaalipiiri,0,0,0,0,Riku Jussi,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Ahola,0,0,0,0,"ylioppilasmerkonomi, valtiotieteiden kandidaatti",0,0
0,Helsingin vaalipiiri,0,0,0,0,Sirpa Liisa,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Puhakka,0,0,0,0,"yhteiskuntatieteiden maisteri, puoluesihteeri",0,0
0,Helsingin vaalipiiri,0,0,0,0,Paavo Erkki,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Arhinmäki,0,0,0,0,"puolueen puheenjohtaja, kansanedustaja",0,0
0,Helsingin vaalipiiri,0,0,0,0,Markku Juhani,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Saarinen,0,0,0,0,"pääluottamusmies, kiinteistönhoitaja",0,0
0,Helsingin vaalipiiri,0,0,0,0,Meri Katri Maria,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Immonen,0,0,0,0,"valtiotieteiden kandidaatti, opiskelija",0,0
0,Helsingin vaalipiiri,0,0,0,0,Hanna Gete,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Mithiku,0,0,0,0,"teologian kandidaatti, filosofian ylioppilas",0,0
0,Helsingin vaalipiiri,0,0,0,0,Dan Mikael,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Koivulaakso,0,0,0,0,"YTM, Vasemmistonuorten pj, magister i samhällsvetenskaper, o",0,0
0,Varsinais-Suomen vaalipiiri,0,0,0,0,Juho Pekka Olavi,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Varsinais-Suomen vaalipiiri,Jääskeläinen,0,0,0,0,"taksinkuljettaja, teol.yo.",0,0
0,Helsingin vaalipiiri,0,0,0,0,Joonas,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Leppänen,0,0,0,0,"filosofian maisteri, apurahatutkija, filosofie magister, sti",0,0
0,Helsingin vaalipiiri,0,0,0,0,Kirsi Helinä,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Pihlaja,0,0,0,0,"sosionomi (amk), nuorisotyön suunnittelija",0,0
0,Helsingin vaalipiiri,0,0,0,0,Henrik John Mikael,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Nyholm,0,0,0,0,"ylioppilas, student",0,0
0,Helsingin vaalipiiri,0,0,0,0,Heikki Olavi,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Patomäki,0,0,0,0,"valtiotieteiden tohtori, professori",0,0
0,Helsingin vaalipiiri,0,0,0,0,Anna Tuulikki,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Vuorjoki,0,0,0,0,psykologi,0,0
0,Helsingin vaalipiiri,0,0,0,0,Anna Silvia,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Modig,0,0,0,0,"toimittaja, journalist",0,0
0,Helsingin vaalipiiri,0,0,0,0,Anna Martina,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Helsingin vaalipiiri,Reuter,0,0,0,0,"akademiforskare, akatemiatutkija",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Pekka Olavi,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Peltonen,0,0,0,0,työterveyslääkäri,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Veli Ilmari,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Liikanen,0,0,0,0,nuorisotutkija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Sari Helena,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Nyrhinen,0,0,0,0,"yritysjohtaja, DI",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Rauni Kyllikki,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Berndt,0,0,0,0,terveyskeskuslääkäri,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Mikko Juhani,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Siitonen,0,0,0,0,historian ja yhteiskuntaopin lehtori,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Martta Emilia,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Kantele,0,0,0,0,ympäristöpolitiikan opiskelija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Maija Anna-Lisa,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Pietiläinen,0,0,0,0,"miestyön kehittäjä, YTM",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Kauko Kalevi,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Väisänen,0,0,0,0,yo-merkonomi,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Iikka Eemeli,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Muhonen,0,0,0,0,"luomuviljelijä, eläkkeellä",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Jorma Antti Johannes,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Karjalainen,0,0,0,0,aikuiskouluttaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Heli Maria,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Järvinen,0,0,0,0,"kansanedustaja, toimittaja",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Juha Tapani,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Taskinen,0,0,0,0,"luontokuvaaja, dokumentaristi",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Heikki Johannes,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Härkönen,0,0,0,0,"toiminnanjohtaja, pääluottamusmies",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Heikki Tuomas,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Vento,0,0,0,0,kansanedustajan avustaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Ville Tapani,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Vehviläinen,0,0,0,0,sekatyömies,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Venla Julia,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Vatanen,0,0,0,0,kulttuurituottaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Sini Suvi Annikki,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Savolainen,0,0,0,0,opiskelija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Urpo Tapio,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Haverinen,0,0,0,0,kirjastoautovirkailija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Risto Juha Antero,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Mykkänen,0,0,0,0,kehitysvammaisten ohjaaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Arto Tero,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Rautiainen,0,0,0,0,puistotyöntekijä - työnjohtaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Merja Anitta,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Vasajoki,0,0,0,0,laborantti,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Esa Ensio,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Etelä-Savon vaalipiiri,Valkonen,0,0,0,0,"työsuojeluvaltuutettu, asettaja",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Katja Annastina Varvara,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Etelä-Savon vaalipiiri,Tsutsunen,0,0,0,0,"sosionomi (AMK),kehitysvammaisten ohjaaja",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Jouni Ensio,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Etelä-Savon vaalipiiri,Backman,0,0,0,0,johdon erityisasiantuntija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Eija Anneli,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Etelä-Savon vaalipiiri,Stenberg,0,0,0,0,"saumaaja, varapääluottamusmies",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Arto Eemil,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Etelä-Savon vaalipiiri,Seppälä,0,0,0,0,ylitarkastaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Kaj Valentin,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Etelä-Savon vaalipiiri,Turunen,0,0,0,0,yrittäjä,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Jukka Juhani,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Etelä-Savon vaalipiiri,Pöyry,0,0,0,0,LVI-teknikko,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Antti Olavi Tapio,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Etelä-Savon vaalipiiri,Klen,0,0,0,0,"dosentti, psykologian tohtori",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Mirva Elina,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Etelä-Savon vaalipiiri,Karjalainen,0,0,0,0,"artesaani, puuseppä",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Mika Daniel,0,0,0,0,PIR,0,0,0,0,0,0,Piraattipuolue r.p.,Etelä-Savon vaalipiiri,Letonsaari,0,0,0,0,diplomi-insinööri,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Simo Topias,0,0,0,0,M11,0,0,0,0,0,0,Muutos 2011 r.p.,Etelä-Savon vaalipiiri,Lipsanen,0,0,0,0,opiskelija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Heikki Petteri,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Etelä-Savon vaalipiiri,Skyttä,0,0,0,0,"yrittäjä, tapahtumatuottaja",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Eero Jukka,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Etelä-Savon vaalipiiri,Aho,0,0,0,0,"ylipalomies, työsuojeluasiamies",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Toni Petteri,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Auvinen,0,0,0,0,"yrittäjä, projektipäällikkö",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Matti-Pekka August,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Parkkinen,0,0,0,0,autoilija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Toivo Ilmari,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Loikkanen,0,0,0,0,"kirkkoherra, TM",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Seija Kyllikki,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Korhonen,0,0,0,0,"erikoislääkäri, lääketieteen tohtori",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Martti Ilmari,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Lokka,0,0,0,0,"isännöitsijä, yrittäjä",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Kirsi Maarit,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Torikka,0,0,0,0,osastonhoitaja,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Katri Helena,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Komi,0,0,0,0,"kansanedustaja, MMM",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Johanna Maarit,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Lehvonen,0,0,0,0,"luokanopettaja, lähihoitaja",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Jarkko Veli Petteri,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Sanisalo,0,0,0,0,projektiasiantuntija,0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Jari Juhani,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Leppä,0,0,0,0,"kansanedustaja, maanviljelijä",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Eero Tapio,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Sistonen,0,0,0,0,"opiskelija, myyjä",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Heikki Veli Pekka,0,0,0,0,KESK,0,0,0,0,0,0,Suomen Keskusta r.p.,Etelä-Savon vaalipiiri,Suopohja,0,0,0,0,"toimitusjohtaja, OTL",0,0
0,Etelä-Savon vaalipiiri,0,0,0,0,Teuvo Viktor,0,0,0,0,KD,0,0,0,0,0,0,Suomen Kristillisdemokraatit (KD),Etelä-Savon vaalipiiri,Riikonen,0,0,0,0,"rehtori, kirjailija",0,0
0,Hämeen vaalipiiri,0,0,0,0,Pepe Matinpoika,0,0,0,0,VP,0,0,0,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Hämeen vaalipiiri,Viljanen,0,0,0,0,koulunkäyntiohjaaja,0,0
0,Hämeen vaalipiiri,0,0,0,0,Sami Juhani,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Hietanen,0,0,0,0,"lastentarhanopettaja, sosionomi (AMK)",0,0
0,Hämeen vaalipiiri,0,0,0,0,Päivi Tellervo,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Sieppi,0,0,0,0,"ympäristötarkastaja, maatalous- ja metsätieteiden maisteri",0,0
0,Hämeen vaalipiiri,0,0,0,0,Marko Eerik,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Romppanen,0,0,0,0,liiketoiminnan kehitysjohtaja,0,0
0,Hämeen vaalipiiri,0,0,0,0,Minna Maarika,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Remes-Sievänen,0,0,0,0,sosiaalipäällikkö,0,0
0,Hämeen vaalipiiri,0,0,0,0,Marko Aki Johannes,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Suomi,0,0,0,0,"kuvataiteilija, kuvataiteen maisteri",0,0
0,Hämeen vaalipiiri,0,0,0,0,Kirsi Johanna,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Ojansuu,0,0,0,0,"kansanedustaja, luokanopettaja",0,0
0,Hämeen vaalipiiri,0,0,0,0,Kristiina,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Vanhala-Selin,0,0,0,0,"historian ja yhteiskuntaopin lehtori, filosofian maisteri",0,0
0,Hämeen vaalipiiri,0,0,0,0,Jukka Sakari,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Ilmonen,0,0,0,0,"yrittäjyyden lehtori, kauppatieteiden maisteri",0,0
0,Hämeen vaalipiiri,0,0,0,0,Jari Tuomas Kalevi,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Hämeen vaalipiiri,Juutinen,0,0,0,0,"näytelmäkirjailija, teatterinjohtaja",0,0
